quarter_start,year,quarter_number,period_label,property_type,transaction_group,value_aed,txn_count
2017-10-01,2017,4,2017Q4,Land,Other,17429464585.0,515.0
2017-10-01,2017,4,2017Q4,Land,Sales,13125498141.0,1831.0
2017-10-01,2017,4,2017Q4,Units,Mortgages,3204863486.0,2127.0
2017-10-01,2017,4,2017Q4,Units,Other,985421448.0,729.0
2017-10-01,2017,4,2017Q4,Units,Sales,11481220806.0,9158.0
2018-01-01,2018,1,2018Q1,Building,Mortgages,1351371686.0,300.0
2018-01-01,2018,1,2018Q1,Building,Other,712068891.0,41.0
2018-01-01,2018,1,2018Q1,Building,Sales,1061338773.0,434.0
2018-01-01,2018,1,2018Q1,Land,Mortgages,26665497090.0,1399.0
2018-01-01,2018,1,2018Q1,Land,Other,6808124041.0,227.0
2018-01-01,2018,1,2018Q1,Land,Sales,8635664794.0,1184.0
2018-01-01,2018,1,2018Q1,Units,Mortgages,2680576376.0,2018.0
2018-01-01,2018,1,2018Q1,Units,Other,887725609.0,682.0
2018-01-01,2018,1,2018Q1,Units,Sales,9146640476.0,7474.0
2018-04-01,2018,2,2018Q2,Building,Mortgages,1358805653.0,402.0
2018-04-01,2018,2,2018Q2,Building,Other,34750127.0,21.0
2018-04-01,2018,2,2018Q2,Building,Sales,2292934807.0,696.0
2018-04-01,2018,2,2018Q2,Land,Mortgages,23033952574.0,1332.0
2018-04-01,2018,2,2018Q2,Land,Other,4450827585.0,237.0
2018-04-01,2018,2,2018Q2,Land,Sales,9415095556.0,1192.0
2018-04-01,2018,2,2018Q2,Units,Mortgages,2975625783.0,2212.0
2018-04-01,2018,2,2018Q2,Units,Other,591331732.0,575.0
2018-04-01,2018,2,2018Q2,Units,Sales,9224654939.0,7225.0
2018-07-01,2018,3,2018Q3,Building,Mortgages,532669921.0,309.0
2018-07-01,2018,3,2018Q3,Building,Other,60270174.0,28.0
2018-07-01,2018,3,2018Q3,Building,Sales,1226178553.0,627.0
2018-07-01,2018,3,2018Q3,Land,Mortgages,25938941462.0,1396.0
2018-07-01,2018,3,2018Q3,Land,Other,4703058647.0,1018.0
2018-07-01,2018,3,2018Q3,Land,Sales,8649253327.0,1270.0
2018-07-01,2018,3,2018Q3,Units,Mortgages,2150873787.0,1475.0
2018-07-01,2018,3,2018Q3,Units,Other,1071735104.0,657.0
2018-07-01,2018,3,2018Q3,Units,Sales,6770736117.0,5390.0
2018-10-01,2018,4,2018Q4,Building,Mortgages,411493569.0,288.0
2018-10-01,2018,4,2018Q4,Building,Other,507550000.0,200.0
2018-10-01,2018,4,2018Q4,Building,Sales,1332737443.0,694.0
2018-10-01,2018,4,2018Q4,Land,Mortgages,30505781013.0,1421.0
2018-10-01,2018,4,2018Q4,Land,Other,7839021488.0,501.0
2018-10-01,2018,4,2018Q4,Land,Sales,8801697157.0,1431.0
2018-10-01,2018,4,2018Q4,Units,Mortgages,2294673138.0,1631.0
2018-10-01,2018,4,2018Q4,Units,Other,1301174054.0,924.0
2018-10-01,2018,4,2018Q4,Units,Sales,8088074770.0,6642.0
2019-01-01,2019,1,2019Q1,Building,Mortgages,979965424.0,251.0
2019-01-01,2019,1,2019Q1,Building,Other,89932102.0,43.0
2019-01-01,2019,1,2019Q1,Building,Sales,1913129337.0,1029.0
2019-01-01,2019,1,2019Q1,Land,Mortgages,28352474358.0,1213.0
2019-01-01,2019,1,2019Q1,Land,Other,3557313516.0,225.0
2019-01-01,2019,1,2019Q1,Land,Sales,9242728326.0,992.0
2019-01-01,2019,1,2019Q1,Units,Mortgages,2147199955.0,1444.0
2019-01-01,2019,1,2019Q1,Units,Other,827271559.0,677.0
2019-01-01,2019,1,2019Q1,Units,Sales,9330741855.0,6952.0
2019-04-01,2019,2,2019Q2,Building,Mortgages,346154904.0,253.0
2019-04-01,2019,2,2019Q2,Building,Other,320450045.0,32.0
2019-04-01,2019,2,2019Q2,Building,Sales,1473111271.0,912.0
2019-04-01,2019,2,2019Q2,Land,Mortgages,33219291938.0,978.0
2019-04-01,2019,2,2019Q2,Land,Other,5218976089.0,263.0
2019-04-01,2019,2,2019Q2,Land,Sales,6196921890.0,1098.0
2019-04-01,2019,2,2019Q2,Units,Mortgages,1555601561.0,1458.0
2019-04-01,2019,2,2019Q2,Units,Other,1358108994.0,896.0
2019-04-01,2019,2,2019Q2,Units,Sales,11009854592.0,7045.0
2019-07-01,2019,3,2019Q3,Building,Mortgages,410234480.0,286.0
2019-07-01,2019,3,2019Q3,Building,Other,76151523.0,30.0
2019-07-01,2019,3,2019Q3,Building,Sales,2468723323.0,1506.0
2019-07-01,2019,3,2019Q3,Land,Mortgages,16861049086.0,1127.0
2019-07-01,2019,3,2019Q3,Land,Other,3107306831.0,165.0
2019-07-01,2019,3,2019Q3,Land,Sales,6127018941.0,1066.0
2019-07-01,2019,3,2019Q3,Units,Mortgages,3555379536.0,2008.0
2019-07-01,2019,3,2019Q3,Units,Other,749682248.0,628.0
2019-07-01,2019,3,2019Q3,Units,Sales,9301229181.0,7294.0
2019-10-01,2019,4,2019Q4,Building,Mortgages,1238671791.0,500.0
2019-10-01,2019,4,2019Q4,Building,Other,226090287.0,69.0
2019-10-01,2019,4,2019Q4,Building,Sales,4120630994.0,2190.0
2019-10-01,2019,4,2019Q4,Land,Mortgages,28583600188.0,1234.0
2019-10-01,2019,4,2019Q4,Land,Other,3018162237.0,194.0
2019-10-01,2019,4,2019Q4,Land,Sales,7440264834.0,1150.0
2019-10-01,2019,4,2019Q4,Units,Mortgages,10075909185.0,1795.0
2019-10-01,2019,4,2019Q4,Units,Other,658993617.0,544.0
2019-10-01,2019,4,2019Q4,Units,Sales,12405693289.0,9031.0
2020-01-01,2020,1,2020Q1,Building,Mortgages,710217251.0,507.0
2020-01-01,2020,1,2020Q1,Building,Other,53083288.0,34.0
2020-01-01,2020,1,2020Q1,Building,Sales,2103938867.0,1180.0
2020-01-01,2020,1,2020Q1,Land,Mortgages,19239565259.0,1365.0
2020-01-01,2020,1,2020Q1,Land,Other,3366872533.0,242.0
2020-01-01,2020,1,2020Q1,Land,Sales,9156873548.0,1064.0
2020-01-01,2020,1,2020Q1,Units,Mortgages,1994841166.0,1699.0
2020-01-01,2020,1,2020Q1,Units,Other,821450043.0,721.0
2020-01-01,2020,1,2020Q1,Units,Sales,10105036194.0,7877.0
2020-04-01,2020,2,2020Q2,Building,Mortgages,358779716.0,286.0
2020-04-01,2020,2,2020Q2,Building,Other,31683141.0,20.0
2020-04-01,2020,2,2020Q2,Building,Sales,1082282139.0,570.0
2020-04-01,2020,2,2020Q2,Land,Mortgages,8730833232.0,858.0
2020-04-01,2020,2,2020Q2,Land,Other,2928183878.0,110.0
2020-04-01,2020,2,2020Q2,Land,Sales,4175985216.0,674.0
2020-04-01,2020,2,2020Q2,Units,Mortgages,905584551.0,719.0
2020-04-01,2020,2,2020Q2,Units,Other,370332414.0,230.0
2020-04-01,2020,2,2020Q2,Units,Sales,5707902301.0,4311.0
2020-07-01,2020,3,2020Q3,Building,Mortgages,639635343.0,492.0
2020-07-01,2020,3,2020Q3,Building,Other,83869719.0,55.0
2020-07-01,2020,3,2020Q3,Building,Sales,2200344097.0,1262.0
2020-07-01,2020,3,2020Q3,Land,Mortgages,34614344860.0,1799.0
2020-07-01,2020,3,2020Q3,Land,Other,3985758410.0,317.0
2020-07-01,2020,3,2020Q3,Land,Sales,8927852591.0,1495.0
2020-07-01,2020,3,2020Q3,Units,Mortgages,1603218183.0,1409.0
2020-07-01,2020,3,2020Q3,Units,Other,693088894.0,526.0
2020-07-01,2020,3,2020Q3,Units,Sales,6945938394.0,5878.0
2020-10-01,2020,4,2020Q4,Building,Mortgages,759147160.0,569.0
2020-10-01,2020,4,2020Q4,Building,Other,74549484.0,43.0
2020-10-01,2020,4,2020Q4,Building,Sales,2708956943.0,1451.0
2020-10-01,2020,4,2020Q4,Land,Mortgages,16545931156.0,1729.0
2020-10-01,2020,4,2020Q4,Land,Other,1815274328.0,225.0
2020-10-01,2020,4,2020Q4,Land,Sales,9661584496.0,1793.0
2020-10-01,2020,4,2020Q4,Units,Mortgages,1448585094.0,1505.0
2020-10-01,2020,4,2020Q4,Units,Other,731717857.0,507.0
2020-10-01,2020,4,2020Q4,Units,Sales,9480383598.0,7760.0
2021-01-01,2021,1,2021Q1,Building,Mortgages,12567881837.0,133.0
2021-01-01,2021,1,2021Q1,Building,Other,2442739804.0,64.0
2021-01-01,2021,1,2021Q1,Building,Sales,976640295.0,72.0
2021-01-01,2021,1,2021Q1,Land,Mortgages,18330377812.0,1106.0
2021-01-01,2021,1,2021Q1,Land,Other,730202589.0,87.0
2021-01-01,2021,1,2021Q1,Land,Sales,6003629986.0,1197.0
2021-01-01,2021,1,2021Q1,Units,Mortgages,3275431354.0,2832.0
2021-01-01,2021,1,2021Q1,Units,Other,705141489.0,475.0
2021-01-01,2021,1,2021Q1,Units,Sales,10980208082.0,8187.0
2021-01-01,2021,1,2021Q1,Villa,Mortgages,5326044118.0,2019.0
2021-01-01,2021,1,2021Q1,Villa,Other,942650550.0,214.0
2021-01-01,2021,1,2021Q1,Villa,Sales,7190532425.0,2297.0
2021-04-01,2021,2,2021Q2,Building,Mortgages,8331896931.0,114.0
2021-04-01,2021,2,2021Q2,Building,Other,4044166916.0,33.0
2021-04-01,2021,2,2021Q2,Building,Sales,1107679776.0,66.0
2021-04-01,2021,2,2021Q2,Land,Mortgages,15858014865.0,907.0
2021-04-01,2021,2,2021Q2,Land,Other,1230177307.0,82.0
2021-04-01,2021,2,2021Q2,Land,Sales,9262798949.0,1567.0
2021-04-01,2021,2,2021Q2,Units,Mortgages,2191929121.0,2018.0
2021-04-01,2021,2,2021Q2,Units,Other,795379017.0,594.0
2021-04-01,2021,2,2021Q2,Units,Sales,15791954553.0,10759.0
2021-04-01,2021,2,2021Q2,Villa,Mortgages,4411371370.0,1704.0
2021-04-01,2021,2,2021Q2,Villa,Other,848541310.0,186.0
2021-04-01,2021,2,2021Q2,Villa,Sales,10601288624.0,3188.0
2021-07-01,2021,3,2021Q3,Building,Mortgages,12374052731.0,136.0
2021-07-01,2021,3,2021Q3,Building,Other,864561682.0,25.0
2021-07-01,2021,3,2021Q3,Building,Sales,1086225536.0,68.0
2021-07-01,2021,3,2021Q3,Land,Mortgages,9223303343.0,774.0
2021-07-01,2021,3,2021Q3,Land,Other,1444040231.0,65.0
2021-07-01,2021,3,2021Q3,Land,Sales,11883838680.0,1623.0
2021-07-01,2021,3,2021Q3,Units,Mortgages,2134813717.0,1966.0
2021-07-01,2021,3,2021Q3,Units,Other,1663702405.0,574.0
2021-07-01,2021,3,2021Q3,Units,Sales,18665772927.0,10785.0
2021-07-01,2021,3,2021Q3,Villa,Mortgages,5095653263.0,1615.0
2021-07-01,2021,3,2021Q3,Villa,Other,1617818767.0,164.0
2021-07-01,2021,3,2021Q3,Villa,Sales,10702556801.0,3432.0
2021-10-01,2021,4,2021Q4,Building,Mortgages,12365616353.0,220.0
2021-10-01,2021,4,2021Q4,Building,Other,528939430.0,36.0
2021-10-01,2021,4,2021Q4,Building,Sales,760030384.0,64.0
2021-10-01,2021,4,2021Q4,Land,Mortgages,9428631047.0,843.0
2021-10-01,2021,4,2021Q4,Land,Other,1021600754.0,57.0
2021-10-01,2021,4,2021Q4,Land,Sales,12411057333.0,2044.0
2021-10-01,2021,4,2021Q4,Units,Mortgages,3701016975.0,2154.0
2021-10-01,2021,4,2021Q4,Units,Other,1078863195.0,845.0
2021-10-01,2021,4,2021Q4,Units,Sales,23209636548.0,12331.0
2021-10-01,2021,4,2021Q4,Villa,Mortgages,3623060021.0,1540.0
2021-10-01,2021,4,2021Q4,Villa,Other,661371560.0,170.0
2021-10-01,2021,4,2021Q4,Villa,Sales,10340082093.0,3489.0
2022-01-01,2022,1,2022Q1,Building,Mortgages,7203619210.0,139.0
2022-01-01,2022,1,2022Q1,Building,Other,3956651467.0,62.0
2022-01-01,2022,1,2022Q1,Building,Sales,2857698263.0,74.0
2022-01-01,2022,1,2022Q1,Land,Mortgages,12173317595.0,788.0
2022-01-01,2022,1,2022Q1,Land,Other,1049093943.0,63.0
2022-01-01,2022,1,2022Q1,Land,Sales,17795202886.0,3268.0
2022-01-01,2022,1,2022Q1,Units,Mortgages,2476694347.0,2397.0
2022-01-01,2022,1,2022Q1,Units,Other,941400355.0,708.0
2022-01-01,2022,1,2022Q1,Units,Sales,24912212884.0,14063.0
2022-01-01,2022,1,2022Q1,Villa,Mortgages,4061285810.0,1504.0
2022-01-01,2022,1,2022Q1,Villa,Other,704737565.0,162.0
2022-01-01,2022,1,2022Q1,Villa,Sales,9942782098.0,3132.0
2022-04-01,2022,2,2022Q2,Building,Mortgages,10252705256.0,151.0
2022-04-01,2022,2,2022Q2,Building,Other,1801786506.0,57.0
2022-04-01,2022,2,2022Q2,Building,Sales,1605279721.0,92.0
2022-04-01,2022,2,2022Q2,Land,Mortgages,49439625095.0,760.0
2022-04-01,2022,2,2022Q2,Land,Other,659547944.0,59.0
2022-04-01,2022,2,2022Q2,Land,Sales,15734019178.0,3126.0
2022-04-01,2022,2,2022Q2,Units,Mortgages,2773624250.0,2227.0
2022-04-01,2022,2,2022Q2,Units,Other,1163307570.0,788.0
2022-04-01,2022,2,2022Q2,Units,Sales,30189793188.0,15846.0
2022-04-01,2022,2,2022Q2,Villa,Mortgages,5670919086.0,1724.0
2022-04-01,2022,2,2022Q2,Villa,Other,1030766054.0,166.0
2022-04-01,2022,2,2022Q2,Villa,Sales,11627983699.0,3436.0
2022-07-01,2022,3,2022Q3,Building,Mortgages,7130031902.0,123.0
2022-07-01,2022,3,2022Q3,Building,Other,3339154905.0,80.0
2022-07-01,2022,3,2022Q3,Building,Sales,1116950488.0,73.0
2022-07-01,2022,3,2022Q3,Land,Mortgages,42934944061.0,1019.0
2022-07-01,2022,3,2022Q3,Land,Other,826347076.0,93.0
2022-07-01,2022,3,2022Q3,Land,Sales,22927898737.0,3239.0
2022-07-01,2022,3,2022Q3,Units,Mortgages,4902655058.0,2567.0
2022-07-01,2022,3,2022Q3,Units,Other,1359579732.0,936.0
2022-07-01,2022,3,2022Q3,Units,Sales,34675460814.0,18751.0
2022-07-01,2022,3,2022Q3,Villa,Mortgages,4461380189.0,1620.0
2022-07-01,2022,3,2022Q3,Villa,Other,1533079697.0,197.0
2022-07-01,2022,3,2022Q3,Villa,Sales,11011975835.0,3389.0
2022-10-01,2022,4,2022Q4,Building,Mortgages,7996049588.0,129.0
2022-10-01,2022,4,2022Q4,Building,Other,5791736960.0,84.0
2022-10-01,2022,4,2022Q4,Building,Sales,2263549077.0,136.0
2022-10-01,2022,4,2022Q4,Land,Mortgages,97156068684.0,1193.0
2022-10-01,2022,4,2022Q4,Land,Other,3162823587.0,120.0
2022-10-01,2022,4,2022Q4,Land,Sales,20251818746.0,2898.0
2022-10-01,2022,4,2022Q4,Units,Mortgages,10706237223.0,2641.0
2022-10-01,2022,4,2022Q4,Units,Other,1553944746.0,974.0
2022-10-01,2022,4,2022Q4,Units,Sales,46390596773.0,22437.0
2022-10-01,2022,4,2022Q4,Villa,Mortgages,4285964907.0,1497.0
2022-10-01,2022,4,2022Q4,Villa,Other,982722476.0,163.0
2022-10-01,2022,4,2022Q4,Villa,Sales,13423061186.0,3745.0
2023-01-01,2023,1,2023Q1,Building,Mortgages,8181660556.0,135.0
2023-01-01,2023,1,2023Q1,Building,Other,2752446118.0,66.0
2023-01-01,2023,1,2023Q1,Building,Sales,3000746443.0,132.0
2023-01-01,2023,1,2023Q1,Land,Mortgages,41710409193.0,1021.0
2023-01-01,2023,1,2023Q1,Land,Other,1884351993.0,150.0
2023-01-01,2023,1,2023Q1,Land,Sales,23973819456.0,2978.0
2023-01-01,2023,1,2023Q1,Units,Mortgages,4922538900.0,2619.0
2023-01-01,2023,1,2023Q1,Units,Other,2336779434.0,2090.0
2023-01-01,2023,1,2023Q1,Units,Sales,46800636671.0,23852.0
2023-01-01,2023,1,2023Q1,Villa,Mortgages,4337326244.0,1485.0
2023-01-01,2023,1,2023Q1,Villa,Other,1797242285.0,203.0
2023-01-01,2023,1,2023Q1,Villa,Sales,15281416266.0,3990.0
2023-04-01,2023,2,2023Q2,Building,Mortgages,9646917184.0,102.0
2023-04-01,2023,2,2023Q2,Building,Other,1218244750.0,29.0
2023-04-01,2023,2,2023Q2,Building,Sales,1973644340.0,96.0
2023-04-01,2023,2,2023Q2,Land,Mortgages,10893702052.0,1014.0
2023-04-01,2023,2,2023Q2,Land,Other,1292863621.0,79.0
2023-04-01,2023,2,2023Q2,Land,Sales,24981788449.0,2409.0
2023-04-01,2023,2,2023Q2,Units,Mortgages,4226210505.0,3152.0
2023-04-01,2023,2,2023Q2,Units,Other,1523185976.0,963.0
2023-04-01,2023,2,2023Q2,Units,Sales,49012972300.0,24055.0
2023-04-01,2023,2,2023Q2,Villa,Mortgages,5634936334.0,1799.0
2023-04-01,2023,2,2023Q2,Villa,Other,898294861.0,175.0
2023-04-01,2023,2,2023Q2,Villa,Sales,14781450434.0,3532.0
2023-07-01,2023,3,2023Q3,Building,Mortgages,7162955977.0,111.0
2023-07-01,2023,3,2023Q3,Building,Other,945056868.0,53.0
2023-07-01,2023,3,2023Q3,Building,Sales,2537913398.0,108.0
2023-07-01,2023,3,2023Q3,Land,Mortgages,23681579048.0,1102.0
2023-07-01,2023,3,2023Q3,Land,Other,3881158918.0,413.0
2023-07-01,2023,3,2023Q3,Land,Sales,32378193573.0,3896.0
2023-07-01,2023,3,2023Q3,Units,Mortgages,4840708946.0,3667.0
2023-07-01,2023,3,2023Q3,Units,Other,1593873100.0,1030.0
2023-07-01,2023,3,2023Q3,Units,Sales,44912600916.0,23022.0
2023-07-01,2023,3,2023Q3,Villa,Mortgages,6262490649.0,2150.0
2023-07-01,2023,3,2023Q3,Villa,Other,1241936924.0,195.0
2023-07-01,2023,3,2023Q3,Villa,Sales,17694698544.0,4159.0
2023-10-01,2023,4,2023Q4,Building,Mortgages,8251160907.0,108.0
2023-10-01,2023,4,2023Q4,Building,Other,1973144899.0,54.0
2023-10-01,2023,4,2023Q4,Building,Sales,5859559211.0,117.0
2023-10-01,2023,4,2023Q4,Land,Mortgages,38754552954.0,1076.0
2023-10-01,2023,4,2023Q4,Land,Other,3378274611.0,166.0
2023-10-01,2023,4,2023Q4,Land,Sales,46754187225.0,4107.0
2023-10-01,2023,4,2023Q4,Units,Mortgages,5385663300.0,4105.0
2023-10-01,2023,4,2023Q4,Units,Other,3845214472.0,1472.0
2023-10-01,2023,4,2023Q4,Units,Sales,52999104429.0,27040.0
2023-10-01,2023,4,2023Q4,Villa,Mortgages,6562117806.0,2245.0
2023-10-01,2023,4,2023Q4,Villa,Other,1804673270.0,337.0
2023-10-01,2023,4,2023Q4,Villa,Sales,17006652264.0,4119.0
2025-01-01,2025,1,2025Q1,Building,Mortgages,5646278591.0,140.0
2025-01-01,2025,1,2025Q1,Building,Other,1126988063.0,47.0
2025-01-01,2025,1,2025Q1,Building,Sales,4902861709.0,147.0
2025-01-01,2025,1,2025Q1,Land,Mortgages,17357945800.0,1681.0
2025-01-01,2025,1,2025Q1,Land,Other,3494202941.0,171.0
2025-01-01,2025,1,2025Q1,Land,Sales,47459499137.0,8208.0
2025-01-01,2025,1,2025Q1,Units,Mortgages,9340964865.0,5381.0
2025-01-01,2025,1,2025Q1,Units,Other,2927232520.0,1515.0
2025-01-01,2025,1,2025Q1,Units,Sales,65790041295.0,34165.0
2025-01-01,2025,1,2025Q1,Villa,Mortgages,8678489569.0,2086.0
2025-01-01,2025,1,2025Q1,Villa,Other,2070239377.0,300.0
2025-01-01,2025,1,2025Q1,Villa,Sales,24568412092.0,5189.0
2025-04-01,2025,2,2025Q2,Building,Mortgages,7225022504.0,127.0
2025-04-01,2025,2,2025Q2,Building,Other,1164579151.0,41.0
2025-04-01,2025,2,2025Q2,Building,Sales,5762256045.0,136.0
2025-04-01,2025,2,2025Q2,Land,Mortgages,16937115373.0,1830.0
2025-04-01,2025,2,2025Q2,Land,Other,3708107625.0,182.0
2025-04-01,2025,2,2025Q2,Land,Sales,72257051524.0,7535.0
2025-04-01,2025,2,2025Q2,Units,Mortgages,9218684100.0,6618.0
2025-04-01,2025,2,2025Q2,Units,Other,4296338346.0,2013.0
2025-04-01,2025,2,2025Q2,Units,Sales,85441451273.0,41863.0
2025-04-01,2025,2,2025Q2,Villa,Mortgages,8879655981.0,2433.0
2025-04-01,2025,2,2025Q2,Villa,Other,2587701482.0,347.0
2025-04-01,2025,2,2025Q2,Villa,Sales,20819242157.0,3710.0
